28-06-2023	12:16:20	6a9346fb-3417-44a2-aa73-804a3ecb54cb	GET 	 undefined 	/index	/index
28-06-2023	12:16:20	12e7c488-9732-41a3-a9d0-9e2df5264ed9	GET 	 undefined 	/css/style.css	/css/style.css
28-06-2023	12:20:24	51686b2d-9b08-4fb9-a973-9d380dc6cec9	GET 	 undefined	/
28-06-2023	12:20:24	fd6cba55-d723-4fc2-bb0d-1208613b0287	GET 	 undefined	/css/style.css
28-06-2023	12:23:06	ad499f63-a35f-489c-83f8-c68212394b38	OPTIONS 	 https://www.google.com	/
28-06-2023	12:23:06	b94297c4-49f9-42e7-b3c2-ae1ec66898a9	GET 	 https://www.google.com	/
28-06-2023	12:26:33	8e272e52-6d51-4cbc-9302-487de1077248	OPTIONS 	 https://www.google.com	/
28-06-2023	12:26:33	b139f841-9768-455d-8b05-554d8761cd2f	GET 	 https://www.google.com	/
28-06-2023	12:26:59	d80785ba-596f-491f-ac40-ab93fd46d7b8	OPTIONS 	 https://www.google.com	/tutoria
28-06-2023	12:26:59	72665154-f9ca-49ff-b7c9-e5863890c863	GET 	 https://www.google.com	/tutoria
28-06-2023	12:35:40	ec192114-c645-466e-b17c-09e7c656c63d	OPTIONS 	 https://www.google.com 	/tutoria
28-06-2023	12:35:40	4c6bed6c-4627-4a06-9c6c-651218a7b6f8	GET 	 https://www.google.com 	/tutoria
28-06-2023	12:36:54	aeb52c3c-c06f-4ee7-80b0-dbeb791835c7	OPTIONS 	 https://www.google.com 	/tutoria
28-06-2023	12:36:54	03d3d54e-7872-4bae-bed1-4028f2a66226	GET 	 https://www.google.com 	/tutoria
28-06-2023	12:42:30	86a9d7ec-cd22-4cfd-b79d-96c3866cb1f2	OPTIONS 	 https://www.google.com 	/tutoria
28-06-2023	12:42:30	73d1d40b-b052-47ec-b369-58468fdf1603	GET 	 https://www.google.com 	/tutoria
28-06-2023	12:43:15	1515c42a-b8d7-4296-b05d-9a19409b09f7	GET 	 undefined 	/
28-06-2023	12:44:09	71b9d2d9-55ab-4b7c-80dd-9d4dd1878eeb	GET 	 undefined 	/
28-06-2023	12:44:09	94db1eba-619f-48eb-ab0f-fce4c11196da	GET 	 undefined 	/css/style.css
28-06-2023	12:52:50	246afd0c-c653-41a4-b2f6-5831464c39c1	OPTIONS 	 https://www.google.com 	/tutoria
28-06-2023	12:52:50	0979d20d-d17e-4c86-8fcd-25caac216a08	GET 	 https://www.google.com 	/tutoria
28-06-2023	12:53:41	6056bc0f-9725-4be0-9c7e-8538655768cd	OPTIONS 	 https://www.google.com 	/tutoria
28-06-2023	12:53:41	15fed9ce-4c7a-4ba0-8dd7-2351a77d7d19	GET 	 https://www.google.com 	/tutoria
28-06-2023	13:22:22	6b0f259f-8b36-4e5c-8134-89eeef5d7307	GET 	 undefined 	/
28-06-2023	13:22:22	23db1296-71f8-44b2-9515-5bbde1f3435d	GET 	 undefined 	/css/style.css
28-06-2023	13:22:27	59078e14-fc40-49eb-b51f-347d76d2f86f	GET 	 undefined 	/kit
28-06-2023	13:22:27	bbfe012f-6631-4575-b0c1-12fb84e030b6	GET 	 undefined 	/css/style.css
28-06-2023	13:36:19	e6c14c19-2934-4911-9e6b-b8fc3692b7f6	GET 	 undefined 	/
28-06-2023	13:36:20	c12cc69e-4ba9-4b3e-b6ff-e8e7a95091cd	GET 	 undefined 	/css/style.css
28-06-2023	13:36:25	4c080760-c733-4248-a5a7-3bf23d1efa3d	GET 	 undefined 	/subdir
28-06-2023	13:36:25	a4865137-1611-4c6b-8d40-fe19e3a3f9e5	GET 	 undefined 	/css/style.css
28-06-2023	13:36:34	c0abab3f-8173-4247-91e1-b82a8075d459	GET 	 undefined 	/subdir/test
28-06-2023	13:36:34	667a2826-6458-4b53-b407-b3c31d687bd4	GET 	 undefined 	/subdir/css/style.css
28-06-2023	13:36:58	b5d740a2-7c64-4884-a85a-27d455d4366c	GET 	 undefined 	/subdir/test
28-06-2023	13:36:58	38cf9cd2-8196-49e4-8b34-be96646b76ae	GET 	 undefined 	/subdir/css/style.css
28-06-2023	13:37:35	8a4ee3a7-c5d4-4cdb-bc94-6eb37fe233c8	GET 	 undefined 	/subdir/test
28-06-2023	13:37:35	a77424cf-7edf-4b0f-9a04-dea6d7fe7b75	GET 	 undefined 	/subdir/css/style.css
28-06-2023	13:37:40	a4ccce1b-1351-4cd7-97f2-815dbcc530f3	GET 	 undefined 	/subdir/css/style.css
28-06-2023	13:37:55	1f56a6f1-707c-43b8-a428-3aa2050f7269	GET 	 undefined 	/subdir/test.html
28-06-2023	13:37:55	b49d6984-321c-4e12-954d-e19b1b538f1d	GET 	 undefined 	/subdir/css/style.css
28-06-2023	13:37:59	dc8fc7d6-b7cb-4843-9f21-e032abc00de8	GET 	 undefined 	/subdir
28-06-2023	13:37:59	86d22f6a-8f27-4eb0-a7a5-d6667a9ea883	GET 	 undefined 	/css/style.css
28-06-2023	13:38:10	d4b4b66d-9939-4d8a-b3b7-b11019cacba5	GET 	 undefined 	/test
28-06-2023	13:38:10	91ef9ef6-38d3-4a80-b6f0-889fda0c8846	GET 	 undefined 	/css/style.css
28-06-2023	13:39:30	b1ee2776-dabb-4dcf-8d6e-cfe42da865d5	GET 	 undefined 	/index
28-06-2023	13:39:30	1af496bd-458d-4cf4-ba2e-43841d1b3533	GET 	 undefined 	/css/style.css
28-06-2023	13:39:37	452eec34-8ea6-467e-9e4c-b1127a69d315	GET 	 undefined 	/subdir
28-06-2023	13:39:37	94b12bee-c912-40ed-8a3a-631341ef7a31	GET 	 undefined 	/css/style.css
28-06-2023	13:40:25	a837ea5e-aed2-4303-9585-40b7cc74b6db	GET 	 undefined 	/subdir/test
28-06-2023	13:40:25	2252ef86-6c96-4892-a1a3-4e252e733b89	GET 	 undefined 	/subdir/css/style.css
28-06-2023	13:43:44	6d73163f-6a73-4338-b33b-d11bab77930d	GET 	 undefined 	/subdir/test
28-06-2023	13:43:44	4c924e67-a441-49f4-97a5-e520a2db2680	GET 	 undefined 	/css/style.css
28-06-2023	13:43:49	dcab4ed5-d4b4-451e-a230-e5ef598b269b	GET 	 undefined 	/subdir/
28-06-2023	13:43:49	18370e49-03f1-4d4d-9ae5-defb65d43aa0	GET 	 undefined 	/subdir/css/style.css
28-06-2023	13:44:03	104a1209-9f89-44dc-916e-d0f697f50203	GET 	 undefined 	/subdir/
28-06-2023	13:44:03	ae6aea44-9e0d-470c-a733-48fe4ccdcd57	GET 	 undefined 	/css/style.css
28-06-2023	13:44:06	f9ef9995-f5ba-4343-b656-3253d15db6a0	GET 	 undefined 	/subdir
28-06-2023	13:44:06	baf93503-0f23-43ec-a4b3-f11aab6d2abb	GET 	 undefined 	/css/style.css
28-06-2023	13:44:08	2239bfbe-1a9b-44a6-9129-3ecd23fd129d	GET 	 undefined 	/
28-06-2023	13:44:08	458a83ac-632c-45c2-ae1d-75e904ff8427	GET 	 undefined 	/css/style.css
28-06-2023	13:46:25	a99a017d-fed9-434f-8e56-9aee0539256c	GET 	 undefined 	/test
28-06-2023	13:46:25	edf48f85-33ea-48fe-891f-d36c88654499	GET 	 undefined 	/css/style.css
28-06-2023	13:46:33	246c7b45-f6a7-44f0-ba39-7dcce7ca1a60	GET 	 undefined 	/subdir
28-06-2023	13:46:33	a1f6c87b-d86f-45fb-8140-961d2fbdc908	GET 	 undefined 	/subdir/
28-06-2023	13:46:33	4833df35-0414-43e0-b89c-9c273ec14ae0	GET 	 undefined 	/css/style.css
28-06-2023	13:46:37	f7e6f6cd-d082-4ef3-91f1-151bf1ef85ea	GET 	 undefined 	/subdir/test
28-06-2023	13:46:37	c3353d98-c3f8-4817-ab63-fb34bce562c2	GET 	 undefined 	/css/style.css
28-06-2023	13:47:02	0ca84846-5734-4c14-978f-e39af62a4482	GET 	 undefined 	/subdir/test
28-06-2023	13:47:02	965088ae-1505-4318-a304-454664f6a4cd	GET 	 undefined 	/subdir/css/style.css
28-06-2023	13:47:07	5d187e68-43cb-41da-a361-134eb7c5f2aa	GET 	 undefined 	/subdir/test
28-06-2023	13:47:07	68b6de4e-1104-4451-8aa5-c3a0a80af09f	GET 	 undefined 	/subdir/css/style.css
28-06-2023	13:47:10	3af922da-6f87-4cf2-8083-482dd09a3ee8	GET 	 undefined 	/subdir/
28-06-2023	13:47:10	0ea7a6eb-57c9-4d6d-bcbe-75a647060c0d	GET 	 undefined 	/css/style.css
28-06-2023	13:47:16	87e82e33-55bc-4d09-9676-e95485132fd9	GET 	 undefined 	/css/style.css
28-06-2023	13:47:26	5b798541-d66d-40c9-aebf-6a6e0f4bb4a0	GET 	 undefined 	/subdir/test
28-06-2023	13:47:26	7d24d179-da65-4d60-b08d-1087aa19ae37	GET 	 undefined 	/subdir/css/style.css
28-06-2023	13:47:33	54f5a5bf-e104-4dbb-94fd-8b6edfedc25e	GET 	 undefined 	/subdir/test1
28-06-2023	13:47:33	226fb517-e7cc-41b7-a25a-94e7fa4ef647	GET 	 undefined 	/subdir/css/style.css
28-06-2023	13:48:36	e64326ad-f331-4428-bf39-cb97a99046f6	GET 	 undefined 	/subdir/test1
28-06-2023	13:48:36	a7f5cbb5-fd5a-43e2-8974-74a6a3cfb0ac	GET 	 undefined 	/subdir/css/style.css
28-06-2023	13:48:41	2ea181f9-db8a-44cb-821e-09cd9d5cbd43	GET 	 undefined 	/subdir/test
28-06-2023	13:48:41	64661449-a292-48bc-b8fe-0ef9f3e971bc	GET 	 undefined 	/subdir/css/style.css
28-06-2023	13:48:44	ab961ed3-fdb3-43d0-93b3-820725455e6c	GET 	 undefined 	/subdir/
28-06-2023	13:48:44	ce1addd0-095b-4d9d-98e9-0cdcb53d2da5	GET 	 undefined 	/css/style.css
28-06-2023	13:49:45	a36e156b-f8ec-405a-9a41-3c746ed5a912	GET 	 undefined 	/subdir/
28-06-2023	13:49:45	ae34ed6c-abb6-4943-80c7-52cdfabfd95f	GET 	 undefined 	/subdir/css/style.css
28-06-2023	13:50:00	1bc02961-797c-4af8-9354-904271589100	GET 	 undefined 	/subdir/
28-06-2023	13:50:00	332f8bd2-8481-4bbe-aa41-6dd48d6b92e4	GET 	 undefined 	/subdir/css/style.css
28-06-2023	13:50:04	a735bf9a-aa80-43bd-91cf-8329343eb1ad	GET 	 undefined 	/subdir/ys
28-06-2023	13:50:04	f91b6cfe-1a25-49ac-86a0-601403d5d328	GET 	 undefined 	/subdir/css/style.css
28-06-2023	13:50:09	3b83891f-a3dd-433c-855c-a28c329c838d	GET 	 undefined 	/subdir/test
28-06-2023	13:50:09	ca88e567-4ff4-4a7b-b016-962aed418648	GET 	 undefined 	/subdir/css/style.css
28-06-2023	13:56:15	0f337796-ece8-41d2-aafd-c5b0883bc0de	GET 	 undefined 	/subdir/
28-06-2023	13:56:15	39a8a859-75d0-4f65-9fc5-6b46cba92be7	GET 	 undefined 	/subdir/css/style.css
28-06-2023	13:56:16	65c59627-8ee8-4119-bfce-8cd1f0851edf	GET 	 undefined 	/
28-06-2023	13:56:16	987691c2-d3c4-4c9f-b885-7db40403ffef	GET 	 undefined 	/css/style.css
28-06-2023	14:12:51	d836eb59-8ede-438f-bd37-7c1860bb7a60	GET 	 undefined 	/api/employees
28-06-2023	14:12:51	98a7e2ce-555e-4ef4-b7d1-16e6e7635602	GET 	 undefined 	/api/css/style.css
28-06-2023	14:13:31	e5a49a3a-f4d1-4140-97c1-a56b616edb62	GET 	 undefined 	/api/employees
28-06-2023	14:18:20	5b3a77f9-fd45-4c80-9977-0de5da2f7a6b	POST 	 undefined 	/api/employees
28-06-2023	14:18:47	97c84b16-8b2a-4dba-990d-6e6489488395	POST 	 undefined 	/api/employees
28-06-2023	14:25:24	b3539fd7-ec12-4599-9aa5-5f87ff785626	POST 	 undefined 	/api/employees
28-06-2023	14:26:49	8d76ca07-2fe9-4ab4-b903-8eae7e75d507	GET 	 undefined 	/api/employee
28-06-2023	14:26:57	014392cc-71a0-4fd6-8cf9-7bd450481c56	GET 	 undefined 	/api/employees
28-06-2023	14:27:27	586fdeb3-9bad-408b-aaa5-fdb3369c8fc7	GET 	 undefined 	/api/employees
28-06-2023	14:28:15	3e7ca194-2a70-40a1-a0ce-54837cfa7f61	POST 	 undefined 	/api/employees
28-06-2023	14:28:19	65592cc3-caab-4f5b-85bb-fa8eabf76e47	GET 	 undefined 	/api/employees
28-06-2023	14:29:08	a3763a70-6678-471b-99e9-4b4640a4b660	GET 	 undefined 	/api/employees
28-06-2023	14:29:21	ce83ad8c-b650-4fcb-a3c2-28c3dd0b4d5a	GET 	 undefined 	/api/employees
28-06-2023	14:31:09	98327b6e-5e26-4337-a060-e8ad9f168f18	POST 	 undefined 	/api/employees
28-06-2023	14:31:15	9f6f05b0-e533-4fd2-b7fb-d9e8d7f45711	GET 	 undefined 	/api/employees
28-06-2023	14:32:48	64922cdd-7c13-48a8-ae2f-16074d6bb273	GET 	 undefined 	/api/employees
28-06-2023	14:33:12	e9fea9de-e631-4388-b704-6b6b399f9350	GET 	 undefined 	/api/employees
28-06-2023	14:33:26	cb2a84d4-cd92-4c09-9f82-f7caf27468db	GET 	 undefined 	/api/employees
28-06-2023	14:33:46	16835b78-63b8-4bf2-a9b5-af74d7c21a06	POST 	 undefined 	/api/employees
28-06-2023	14:33:50	f105faac-edda-4731-9d8f-e8b713e581b7	GET 	 undefined 	/api/employees
28-06-2023	14:35:16	d04adf7b-0a6a-421a-821f-ace98dc5bb2c	POST 	 undefined 	/api/employees
28-06-2023	14:35:23	287497d0-6f1d-4ab1-a80b-7d6eda31c178	GET 	 undefined 	/api/employees
28-06-2023	14:36:16	fc294f7e-3e0f-4e9d-bcd6-56339344d4d5	POST 	 undefined 	/api/employees
28-06-2023	14:36:19	b581ea26-0ea6-4076-a463-312d108dadef	GET 	 undefined 	/api/employees
28-06-2023	14:43:06	1420afdc-638d-4b53-ac64-d166b03cb5a5	POST 	 undefined 	/api/employees
28-06-2023	14:43:11	cd0316df-0e0e-4221-93ec-846ace15d50a	GET 	 undefined 	/api/employees
28-06-2023	14:43:29	36e922a8-1159-455f-9fb1-9000dfccd2f0	POST 	 undefined 	/api/employees
28-06-2023	14:43:33	9c1fac4a-64ed-4695-bd4b-496dd1cb14a6	GET 	 undefined 	/api/employees
28-06-2023	14:45:42	135e7733-dc65-4cab-b735-cc0d3b9060c3	POST 	 undefined 	/api/employees
28-06-2023	14:45:45	13a7c0fd-205c-427b-9e53-528c9f19975d	GET 	 undefined 	/api/employees
28-06-2023	14:46:34	dfb1113e-6bab-4638-89c2-f6fa07e52554	POST 	 undefined 	/api/employees
28-06-2023	14:46:41	01a2a969-a296-4c52-994c-9501aedba2db	GET 	 undefined 	/api/employees
28-06-2023	14:47:02	014180a9-ad36-4431-9412-9c8981649bac	GET 	 undefined 	/api/employees
28-06-2023	14:47:10	dd2a5d73-7721-4c4e-88a9-779c46d2eda1	POST 	 undefined 	/api/employees
28-06-2023	14:47:14	61551acd-eee9-489d-a596-51fb4fb32284	GET 	 undefined 	/api/employees
28-06-2023	14:50:44	aee2f4e7-4de6-4a34-8d8a-0fc2a707f0e8	POST 	 undefined 	/api/employees
28-06-2023	14:50:48	db0641c6-de9e-4e59-a87f-6c41b3d55fde	GET 	 undefined 	/api/employees
28-06-2023	14:50:57	38fe1864-1ae7-408f-b6c9-238fc180f5cb	GET 	 undefined 	/api/employees/1
28-06-2023	14:51:39	0cfc2b66-02ac-482f-b666-9c5afdd1e63c	GET 	 undefined 	/api/employees/1
28-06-2023	14:55:34	d727b0b1-0045-43a5-abf8-a7f9031ebb14	GET 	 undefined 	/api/employees
28-06-2023	14:55:47	bf9ec8ff-d714-4866-8ad4-37a3c1c0e266	GET 	 undefined 	/api/employees/1
28-06-2023	14:56:16	ad6523dc-bdbe-4f22-9468-6e0c824734dd	GET 	 undefined 	/api/employees/?id=2
28-06-2023	15:00:33	ad73fcba-a8fe-495d-a321-b3f600795f69	POST 	 undefined 	/api/employees
28-06-2023	15:00:44	874d98df-0d46-44ac-82f8-36d1bb0de2d7	GET 	 undefined 	/api/employees
28-06-2023	15:00:55	585d7054-9cf9-47e8-a1fa-6a5f8876e63d	GET 	 undefined 	/api/employees/1
28-06-2023	15:02:04	58a6ca49-bdbc-4119-b620-b0c5371c2dc1	GET 	 undefined 	/api/employees/1
28-06-2023	15:02:29	01c6a519-717c-4a09-bceb-fb4e9dff896d	POST 	 undefined 	/api/employees
28-06-2023	15:02:32	dfb9a3c7-624f-40b4-b63a-810c18bb3c42	GET 	 undefined 	/api/employees/1
28-06-2023	15:02:37	78624115-19ac-464a-a41e-d7ad8bfea90e	GET 	 undefined 	/api/employees/2
28-06-2023	15:02:41	a5bbb325-502d-44c6-b3da-0251052159d7	GET 	 undefined 	/api/employees/3
28-06-2023	15:04:40	b57e9eac-dcae-4415-a386-b63fbd5c628b	POST 	 undefined 	/api/employees
28-06-2023	15:04:48	5f4d9399-96b8-4a14-b40a-939e92b2d626	GET 	 undefined 	/api/employees/1
28-06-2023	15:04:52	0f8a8382-d83e-4126-9a0a-9b8b325e6a0c	GET 	 undefined 	/api/employees/3
28-06-2023	15:05:42	390de007-7874-450d-8c7f-deb63610e800	POST 	 undefined 	/api/employees
28-06-2023	15:05:45	4feaa963-8542-4d00-aab4-c49aba648ac9	GET 	 undefined 	/api/employees/3
28-06-2023	15:09:32	99f0179a-f858-48c1-901c-ca53d381e881	GET 	 undefined 	/api/employees/3
28-06-2023	15:10:05	f994eaef-2193-446c-bb4e-a33204b751bd	GET 	 undefined 	/api/employees/3
28-06-2023	15:10:42	c380a2b4-f5d8-4b74-b679-86790464e093	GET 	 undefined 	/api/employees/3
28-06-2023	15:11:29	feea2c95-aefb-4add-a6c2-5741baebc6a2	POST 	 undefined 	/api/employees
28-06-2023	15:11:35	98c72bdf-4040-4e07-bd88-e26859d50b5f	GET 	 undefined 	/api/employees/3
28-06-2023	15:12:49	40f15205-9ee9-4f6b-b552-83fc054ffc5a	GET 	 undefined 	/api/employees/2
28-06-2023	15:13:32	868267de-3902-4e09-9d31-6415ad99c509	POST 	 undefined 	/api/employees
28-06-2023	15:13:35	d0cc7dc1-288f-4b2d-8a76-9f9ff19fda59	GET 	 undefined 	/api/employees/2
28-06-2023	15:13:42	98240646-4147-40be-8246-10e874f4668f	GET 	 undefined 	/api/employees/3
28-06-2023	15:14:48	32efb108-c69e-4390-b6b0-0b44e30faaa0	POST 	 undefined 	/api/employees
28-06-2023	15:14:56	7554bfdf-d8a9-400d-81b6-86014240d152	GET 	 undefined 	/api/employees/2
28-06-2023	15:15:59	e354d085-fa5a-4e0f-886f-5ed8e6548724	POST 	 undefined 	/api/employees
